

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
1503B.OP7     STAGE 2 CALIBRATION 1503B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

        Actual 1503B.OP7|
 Year    Catch  MDL Cat | Compare
 ==== ======== ======== |========
  4   0.4646  0.5814  0.5448  0.6424  0.6837  0.5542  0.4736  0.4221  0.2988  0.2945  0.3452  0.3234  0.3701  0.3079  0.5672  0.3641  0.4696  0.7545  1.5412  1.8227  1.5128  1.2835  1.7349  2.0316  1.4326  1.1012  1.3646  2.1764  1.4908  1.5491  1.5391  1.9821  2.3631  2.5200
  5   0.4645  0.5814  0.5448  0.6424  0.6837  0.5542  0.4736  0.4221  0.2988  0.2945  0.3451  0.3233  0.3700  0.3079  0.5671  0.3641  0.4696  0.7544  1.5411  1.8225  1.5126  1.2833  1.7344  2.0309  1.4323  1.1011  1.3646  2.1772  1.4909  1.5494  1.5387  1.9829  2.3645  2.5179
  6   0.4644  0.5813  0.5448  0.6425  0.6838  0.5542  0.4736  0.4220  0.2988  0.2945  0.3451  0.3232  0.3700  0.3079  0.5671  0.3641  0.4696  0.7544  1.5413  1.8226  1.5126  1.2832  1.7340  2.0304  1.4321  1.1010  1.3645  2.1774  1.4908  1.5494  1.5383  1.9836  2.3658  2.5172
  7   0.4644  0.5813  0.5448  0.6425  0.6838  0.5542  0.4736  0.4220  0.2988  0.2945  0.3451  0.3232  0.3700  0.3079  0.5672  0.3641  0.4696  0.7545  1.5414  1.8226  1.5126  1.2832  1.7339  2.0302  1.4319  1.1009  1.3643  2.1770  1.4907  1.5493  1.5381  1.9842  2.3669  2.5170
  8   0.4644  0.5813  0.5448  0.6426  0.6839  0.5542  0.4736  0.4220  0.2988  0.2945  0.3451  0.3232  0.3700  0.3079  0.5672  0.3641  0.4696  0.7545  1.5414  1.8226  1.5126  1.2831  1.7339  2.0301  1.4319  1.1009  1.3642  2.1766  1.4906  1.5492  1.5379  1.9845  2.3674  2.5169

EV SCALAR COMPARISONS FOR STOCK           ORC
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   1.2414  1.5713  1.8283  1.4861  1.5500  1.6006  1.0089  1.1975  1.0201  1.2881  0.7636  1.4172  0.4532  1.0466  0.6003  0.6081  0.6629  0.3546  1.0407  1.0640  1.8954  1.4810  1.1612  1.1140  0.4199  0.2450  0.3674  0.5206  0.7905  0.8117  1.0284  0.9246  0.4974  0.2905
  2   1.2392  1.5677  1.8214  1.4808  1.5453  1.6000  1.0070  1.1970  1.0209  1.2889  0.7617  1.4134  0.4519  1.0449  0.5998  0.6086  0.6645  0.3546  1.0412  1.0651  1.8984  1.4836  1.1633  1.1154  0.4202  0.2452  0.3675  0.5218  0.7927  0.8133  1.0322  0.9295  0.4995  0.2909
  3   1.2380  1.5664  1.8196  1.4801  1.5448  1.5999  1.0069  1.1971  1.0209  1.2892  0.7620  1.4141  0.4522  1.0451  0.6001  0.6088  0.6645  0.3547  1.0416  1.0655  1.8988  1.4838  1.1632  1.1153  0.4202  0.2452  0.3676  0.5216  0.7924  0.8131  1.0322  0.9312  0.5006  0.2908
  4   1.2375  1.5659  1.8191  1.4799  1.5446  1.5994  1.0065  1.1964  1.0203  1.2885  0.7615  1.4132  0.4519  1.0448  0.5998  0.6087  0.6645  0.3547  1.0413  1.0651  1.8980  1.4832  1.1630  1.1155  0.4204  0.2452  0.3676  0.5214  0.7921  0.8129  1.0321  0.9321  0.5013  0.2908
  5   1.2372  1.5657  1.8190  1.4799  1.5446  1.5989  1.0062  1.1959  1.0199  1.2881  0.7612  1.4127  0.4518  1.0446  0.5997  0.6086  0.6644  0.3546  1.0412  1.0650  1.8976  1.4830  1.1628  1.1154  0.4203  0.2452  0.3676  0.5213  0.7919  0.8128  1.0321  0.9325  0.5017  0.2908
  6   1.2371  1.5656  1.8190  1.4798  1.5446  1.5986  1.0060  1.1956  1.0197  1.2878  0.7612  1.4125  0.4517  1.0445  0.5996  0.6085  0.6644  0.3546  1.0412  1.0649  1.8975  1.4829  1.1627  1.1153  0.4203  0.2452  0.3676  0.5213  0.7918  0.8127  1.0319  0.9327  0.5018  0.2909
  7   1.2370  1.5655  1.8191  1.4798  1.5446  1.5984  1.0059  1.1955  1.0195  1.2877  0.7611  1.4124  0.4517  1.0444  0.5996  0.6085  0.6643  0.3546  1.0412  1.0649  1.8974  1.4828  1.1626  1.1152  0.4203  0.2451  0.3676  0.5213  0.7917  0.8126  1.0318  0.9328  0.5019  0.2909
  8   1.2370  1.5655  1.8191  1.4798  1.5446  1.5983  1.0059  1.1954  1.0195  1.2876  0.7611  1.4123  0.4517  1.0444  0.5996  0.6084  0.6642  0.3546  1.0412  1.0648  1.8974  1.4828  1.1626  1.1151  0.4202  0.2451  0.3675  0.5213  0.7917  0.8126  1.0318  0.9328  0.5020  0.2909

EV SCALAR COMPARISONS FOR STOCK           WCN
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   0.8976  0.9578  1.1297  1.2435  1.7020  1.5186  1.7774  1.4786  1.2006  1.1011  1.0259  0.9825  0.8953  0.7991  0.8574  0.6458  0.4874  0.3929  0.4903  0.5627  0.7338  0.8754  0.9280  0.6695  0.5442  0.4767  0.4982  0.5883  0.6885  0.6222  0.6130  0.6255  0.8576  1.1902
  2   0.8951  0.9547  1.1252  1.2379  1.6944  1.5138  1.7689  1.4755  1.1971  1.1016  1.0222  0.9790  0.8924  0.7968  0.8551  0.6445  0.4865  0.3932  0.4900  0.5626  0.7340  0.8761  0.9292  0.6705  0.5450  0.4773  0.4989  0.5894  0.6902  0.6237  0.6150  0.6274  0.8463  1.1706
  3   0.8941  0.9537  1.1239  1.2367  1.6935  1.5132  1.7682  1.4755  1.1973  1.1018  1.0227  0.9797  0.8929  0.7973  0.8559  0.6452  0.4870  0.3933  0.4904  0.5630  0.7347  0.8767  0.9297  0.6707  0.5450  0.4774  0.4989  0.5894  0.6900  0.6235  0.6150  0.6280  0.8410  1.1594
  4   0.8936  0.9534  1.1236  1.2365  1.6936  1.5130  1.7681  1.4750  1.1970  1.1009  1.0222  0.9791  0.8923  0.7969  0.8553  0.6448  0.4867  0.3932  0.4902  0.5628  0.7342  0.8762  0.9291  0.6703  0.5449  0.4772  0.4988  0.5890  0.6896  0.6232  0.6147  0.6282  0.8387  1.1537
  5   0.8935  0.9533  1.1236  1.2366  1.6938  1.5129  1.7681  1.4746  1.1967  1.1005  1.0219  0.9787  0.8920  0.7966  0.8550  0.6447  0.4867  0.3932  0.4901  0.5627  0.7341  0.8760  0.9289  0.6702  0.5448  0.4772  0.4987  0.5890  0.6895  0.6231  0.6147  0.6285  0.8380  1.1512
  6   0.8934  0.9533  1.1236  1.2367  1.6939  1.5128  1.7681  1.4744  1.1966  1.1002  1.0218  0.9786  0.8919  0.7966  0.8550  0.6447  0.4867  0.3931  0.4901  0.5627  0.7341  0.8760  0.9289  0.6702  0.5448  0.4771  0.4987  0.5889  0.6895  0.6231  0.6147  0.6286  0.8377  1.1499
  7   0.8934  0.9533  1.1237  1.2367  1.6940  1.5127  1.7680  1.4743  1.1965  1.1001  1.0217  0.9785  0.8919  0.7966  0.8551  0.6448  0.4867  0.3931  0.4901  0.5627  0.7341  0.8760  0.9289  0.6702  0.5448  0.4771  0.4987  0.5889  0.6895  0.6230  0.6147  0.6287  0.8376  1.1493
  8   0.8934  0.9534  1.1237  1.2368  1.6940  1.5127  1.7680  1.4743  1.1965  1.1001  1.0217  0.9785  0.8919  0.7966  0.8551  0.6448  0.4867  0.3931  0.4901  0.5627  0.7341  0.8760  0.9289  0.6701  0.5447  0.4771  0.4987  0.5889  0.6895  0.6230  0.6146  0.6287  0.8376  1.1491

EV SCALAR COMPARISONS FOR STOCK           LYF
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011
==================================================================================================================================================================================================================================================================================================================
  1   1.7799  1.0319  1.2872  0.9648  1.1224  1.3674  0.9764  1.1051  1.1407  2.3363  2.5811  2.4835  1.9666  0.9997  0.9626  0.9881  1.6142  3.0398  4.1932  5.2744  3.1664  2.3918  1.9102  1.3297  1.4213  1.3223  1.3584  2.7057  4.6901  4.6565  5.7713  5.5631  5.2842
  2   1.7735  1.0269  1.2798  0.9586  1.1140  1.3539  0.9657  1.0916  1.1245  2.2962  2.5331  2.4313  1.9198  0.9760  0.9393  0.9623  1.5684  2.9549  4.0770  5.1209  3.0754  2.3368  1.8716  1.3163  1.4036  1.3037  1.3478  2.6842  4.6512  4.6291  5.7509  5.5954  5.3108
  3   1.7710  1.0253  1.2776  0.9572  1.1129  1.3528  0.9654  1.0927  1.1269  2.3035  2.5433  2.4454  1.9347  0.9845  0.9495  0.9752  1.5936  3.0057  4.1549  5.2348  3.1485  2.3853  1.9090  1.3317  1.4253  1.3277  1.3635  2.7191  4.7213  4.6838  5.8086  5.6174  5.3319
  4   1.7702  1.0249  1.2772  0.9571  1.1132  1.3534  0.9661  1.0938  1.1283  2.3065  2.5470  2.4493  1.9384  0.9862  0.9511  0.9769  1.5962  3.0084  4.1552  5.2308  3.1424  2.3787  1.9025  1.3281  1.4195  1.3203  1.3578  2.7039  4.6864  4.6541  5.7759  5.6275  5.3441
  5   1.7699  1.0250  1.2773  0.9573  1.1136  1.3540  0.9666  1.0944  1.1290  2.3079  2.5482  2.4499  1.9387  0.9863  0.9510  0.9765  1.5949  3.0050  4.1487  5.2193  3.1340  2.3726  1.8973  1.3257  1.4164  1.3171  1.3556  2.6991  4.6776  4.6473  5.7706  5.6347  5.3521
  6   1.7699  1.0251  1.2775  0.9575  1.1138  1.3544  0.9668  1.0946  1.1292  2.3082  2.5482  2.4493  1.9380  0.9859  0.9505  0.9759  1.5936  3.0022  4.1443  5.2127  3.1300  2.3702  1.8955  1.3250  1.4157  1.3167  1.3554  2.6993  4.6790  4.6487  5.7731  5.6380  5.3563
  7   1.7699  1.0252  1.2777  0.9576  1.1140  1.3546  0.9669  1.0947  1.1292  2.3081  2.5478  2.4485  1.9373  0.9856  0.9502  0.9756  1.5930  3.0011  4.1427  5.2108  3.1292  2.3699  1.8955  1.3250  1.4160  1.3171  1.3558  2.7005  4.6816  4.6508  5.7754  5.6394  5.3584
  8   1.7700  1.0252  1.2778  0.9577  1.1141  1.3547  0.9670  1.0946  1.1291  2.3078  2.5474  2.4480  1.9369  0.9854  0.9501  0.9755  1.5928  3.0009  4.1426  5.2110  3.1297  2.3704  1.8960  1.3252  1.4163  1.3176  1.3561  2.7012  4.6829  4.6517  5.7761  5.6401  5.3595

EV SCALAR COMPARISONS FOR STOCK           MCB
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1  25.4724  1.1464  0.1317  0.2835  0.6850  1.5419  1.1680  0.4271  0.0709  0.1118  0.1032  0.1162  0.0897  0.1990  0.3288  0.1024  0.2361  0.1076  0.2371  0.5785  0.8223  0.3746  0.4779  0.3520  0.2631  0.3023  0.4034  0.2122  0.5041  0.2437  0.7779  1.3575  0.3832  0.5059
  2  25.3838  1.1393  0.1308  0.2812  0.6785  1.5249  1.1536  0.4221  0.0700  0.1116  0.1030  0.1158  0.0876  0.1966  0.3271  0.1016  0.2326  0.1076  0.2372  0.5790  0.8232  0.3751  0.4788  0.3528  0.2636  0.3029  0.4041  0.2126  0.5052  0.2442  0.7786  1.3730  0.3840  0.5025
  3  25.3521  1.1373  0.1305  0.2807  0.6774  1.5227  1.1534  0.4229  0.0702  0.1116  0.1030  0.1159  0.0879  0.1971  0.3276  0.1020  0.2342  0.1077  0.2373  0.5793  0.8235  0.3752  0.4788  0.3527  0.2636  0.3029  0.4040  0.2125  0.5050  0.2441  0.7782  1.3808  0.3846  0.5010
  4  25.3424  1.1370  0.1305  0.2806  0.6774  1.5231  1.1548  0.4240  0.0704  0.1115  0.1030  0.1158  0.0880  0.1971  0.3273  0.1019  0.2344  0.1076  0.2373  0.5790  0.8232  0.3750  0.4786  0.3526  0.2635  0.3027  0.4039  0.2125  0.5048  0.2440  0.7780  1.3852  0.3850  0.5002
  5  25.3406  1.1372  0.1305  0.2807  0.6776  1.5238  1.1559  0.4246  0.0705  0.1115  0.1029  0.1158  0.0880  0.1970  0.3272  0.1019  0.2344  0.1076  0.2372  0.5790  0.8231  0.3750  0.4785  0.3526  0.2635  0.3027  0.4039  0.2125  0.5048  0.2440  0.7779  1.3876  0.3853  0.4999
  6  25.3412  1.1374  0.1306  0.2807  0.6777  1.5243  1.1565  0.4249  0.0705  0.1115  0.1029  0.1158  0.0879  0.1969  0.3272  0.1019  0.2344  0.1076  0.2372  0.5789  0.8230  0.3750  0.4785  0.3525  0.2635  0.3027  0.4038  0.2124  0.5047  0.2440  0.7779  1.3888  0.3855  0.4998
  7  25.3422  1.1376  0.1306  0.2808  0.6778  1.5245  1.1567  0.4250  0.0706  0.1115  0.1029  0.1158  0.0878  0.1969  0.3272  0.1019  0.2344  0.1076  0.2372  0.5789  0.8230  0.3749  0.4785  0.3525  0.2635  0.3027  0.4038  0.2124  0.5047  0.2440  0.7778  1.3893  0.3856  0.4997
  8  25.3431  1.1378  0.1306  0.2808  0.6778  1.5245  1.1568  0.4250  0.0706  0.1115  0.1029  0.1157  0.0878  0.1969  0.3273  0.1019  0.2344  0.1076  0.2372  0.5789  0.8230  0.3749  0.4785  0.3525  0.2634  0.3027  0.4038  0.2124  0.5047  0.2439  0.7778  1.3896  0.3856  0.4997

AGE-SPECIFIC COMPARISONS FOR 1503BCLB.DAT
STAGE 2 CALIBRATION 1503B
***************************************


ESCAPEMENT CALIBRATION FOR AKS
1503B.OP7     STAGE 2 CALIBRATION 1503B
----------------------------------------------

       Calibration Data                               MODEL COMPARISONS                  Age    
Year    Age 2    Age 3    Age 4    Age 5    Total    Age 2    Age 3    Age 4    Age 5  Struct.    Total
=======================================================================================================
1979    none      1709     3098     2405     7212     -NA-    1.404    1.661    1.000    0.380    1.380
1980    none      2395     4468     3641    10504     -NA-    1.618    1.187    0.438    0.415    1.026
1981    none      2108     4069     3158     9335     -NA-    1.753    2.087    0.516    0.808    1.480
1982    none      2446     4543     8497    15486     -NA-    0.978    1.476    0.305    0.524    0.755
1983    none      4020     7132     5228    16380     -NA-    1.342    1.129    0.283    0.369    0.911
1984    none      3898    11268     6353    21519     -NA-    1.449    0.934    0.863    0.157    1.006
1985    none      5745    10422     3451    19618     -NA-    1.108    1.476    0.818    0.316    1.252
1986    none     11646    14794     9906    36346     -NA-    0.490    1.073    0.322    0.378    0.682
1987    none      7445    11705     8625    27775     -NA-    0.470    1.352    0.803    0.352    0.945
1988    none      3554     7634     7596    18784     -NA-    0.680    1.827    1.239    0.493    1.372
1989    none      3052     7101     7337    17490     -NA-    0.676    1.234    0.677    0.287    0.903
1990    none      3808     3427     4908    12143     -NA-    0.813    1.488    0.893    0.239    1.036
1991    none      2284     4790     2616     9690     -NA-    1.080    1.532    0.739    0.352    1.211
1992    none      2662     4199     4101    10962     -NA-    0.468    1.341    0.553    0.427    0.834
1993    none      2606     5429     5510    13545     -NA-    0.697    1.292    0.708    0.294    0.940
1994    none      2468     3695     4179    10342     -NA-    0.598    1.624    0.960    0.335    1.111
1995    none      2703     2458     4379     9540     -NA-    0.740    1.812    0.654    0.441    0.977
1996    none      1974     5337     4038    11349     -NA-    0.382    1.179    0.751    0.280    0.888
1997    none      1874     2843     2868     7585     -NA-    0.688    1.761    0.911    0.396    1.175
1998    none      2495     4806     2631     9932     -NA-    0.691    1.034    0.641    0.189    0.843
1999    none      4394     4465     3360    12219     -NA-    1.416    1.391    1.126    0.327    1.327
2000    none      5345     7360     3459    16164     -NA-    1.274    1.276    0.719    0.276    1.156
2001    none      2736    12706     6148    21590     -NA-    1.093    1.156    0.372    0.283    0.925
2002    none      5066     6665     6948    18679     -NA-    1.228    1.296    0.504    0.352    0.983
2003    none      1828     9080     3668    14576     -NA-    1.332    1.153    0.392    0.290    0.984
2004    none      6753     4898     5456    17107     -NA-    1.705    1.099    0.534    0.455    1.158
2005    none      2787     9952     2496    15235     -NA-    1.794    0.977    0.563    0.232    1.058
2006    none      6221     8233     6276    20730     -NA-    1.176    0.962    0.279    0.286    0.819
2007    none      2403     9505     3104    15012     -NA-    1.558    1.041    0.390    0.242    0.989
2008    none      3145     6506     4129    13780     -NA-    1.403    0.953    0.640    0.222    0.962
2009    none      3958     4687     1818    10463     -NA-    1.840    1.203    0.432    0.507    1.310
2010    none      4164     8622     2888    15674     -NA-    1.084    0.851    0.232    0.246    0.799
2011    none      2729     6295     2784    11808     -NA-    1.645    1.088    0.266    0.369    1.023
2012    none      1807     3732     1287     6826     -NA-    1.073    0.847    0.296    0.236    0.803
2013    none      1818     4870     1671     8359     -NA-    1.728    1.285    0.287    0.467    1.182
2014    none      2829     5286     2199    10314     -NA-    1.000    0.750    0.308    0.276    0.724
2015    none     none     none     none         0     -NA-     -NA-     -NA-     -NA-     -NA-     -NA-
Average Magnitudes                                                                       0.347    0.155

TERMINAL RUN CALIBRATION FOR NTH
1503B.OP7     STAGE 2 CALIBRATION 1503B
----------------------------------------------

       Calibration Data                               MODEL COMPARISONS                  Age    
Year    Age 2    Age 3    Age 4    Age 5    Total    Age 2    Age 3    Age 4    Age 5  Struct.    Total
=======================================================================================================
1979    none     none     none     none     66358     -NA-     -NA-     -NA-     -NA-     -NA-    1.060
1980    none     none     none     none     74611     -NA-     -NA-     -NA-     -NA-     -NA-    0.993
1981    none     none     none     none     77899     -NA-     -NA-     -NA-     -NA-     -NA-    1.003
1982    none     none     none     none     82030     -NA-     -NA-     -NA-     -NA-     -NA-    0.971
1983    none     none     none     none     80559     -NA-     -NA-     -NA-     -NA-     -NA-    1.117
1984    none     none     none     none    105611     -NA-     -NA-     -NA-     -NA-     -NA-    0.980
1985    none     none     none     none    139111     -NA-     -NA-     -NA-     -NA-     -NA-    0.940
1986    none     none     none     none    162760     -NA-     -NA-     -NA-     -NA-     -NA-    0.930
1987    none     none     none     none    147530     -NA-     -NA-     -NA-     -NA-     -NA-    1.063
1988    none     none     none     none    171564     -NA-     -NA-     -NA-     -NA-     -NA-    1.012
1989    none     none     none     none    184225     -NA-     -NA-     -NA-     -NA-     -NA-    0.950
1990    none     none     none     none    172722     -NA-     -NA-     -NA-     -NA-     -NA-    1.017
1991    none     none     none     none    156834     -NA-     -NA-     -NA-     -NA-     -NA-    1.084
1992    none     none     none     none    189546     -NA-     -NA-     -NA-     -NA-     -NA-    0.921
